id,lat,lon,x,y,diam
02-1-141322,42.1186,-94.03399999999999,-2851425.9337844723,1277177.0671745823,4425.54
07-1-030960,-8.76734,67.189,2037395.5916481793,-265855.1231076627,3653.6499999999996
04-1-109667,56.6746,-50.31400000000002,-1525689.0532406576,1718563.755948502,3493.92
03-1-014400,-5.50045,-175.192,-5312408.407507597,-166792.072840513,7186.84
09-1-095648,-25.2344,142.464,4319985.794826032,-765191.5539431577,5252.889999999999
05-1-131185,-58.6952,-29.857000000000028,-905364.2736138318,-1779835.1178155388,6585.96
07-1-190935,-48.4898,20.9563,635465.2284936038,-1470373.1973969236,4822.45
06-1-002716,9.40405,56.3217,1707862.6455838198,285162.30355622293,5075.160000000001
07-1-141121,-37.6708,11.9992,363855.94640945445,-1142304.8691580503,3873.06
07-1-157487,-40.9019,59.1706,1794250.8386071795,-1240282.6467135197,4242.56
08-1-081250,20.0153,168.584,5112031.707904817,606930.9557444792,3050.58
02-1-142697,43.0027,-138.249,-4192172.872788241,1303985.941284573,3983.1400000000003
02-1-091360,24.9258,-129.791,-3935697.9749007854,755833.7680022651,4048.22
02-2-001410,45.7562,-174.529,-5292304.026176385,1387481.2866774686,5294.46
02-1-134656,40.8513,-136.754,-4146839.4639041377,1238748.2851820579,4121.71
02-1-143058,43.5356,-151.251,-4586437.0750030335,1320145.2547256022,5347.889999999999
08-1-097529,23.5009,95.9043,2908139.696082759,712626.0259828946,3037.3100000000004
04-1-092333,47.6001,-76.06,-2306394.0332608097,1443394.5125245578,3668.1499999999996
09-1-036337,-8.5908,121.489,3683953.519679497,-260501.83882378336,5060.79
02-1-071455,19.1581,-105.56700000000001,-3201145.1342261885,580937.7797608982,4036.18
08-1-095219,23.9425,136.004,4124096.951086026,726016.817530199,3003.59
02-1-165316,52.5903,-160.34,-4862046.007008128,1594714.0958111484,6231.639999999999
05-1-062837,-28.3781,-6.677999999999997,-202499.33413247016,-860519.0706715564,4350.53
07-1-126203,-34.4959,89.5611,2715792.6196722942,-1046031.2638964182,4611.1
07-1-107884,-27.7932,5.52437,167517.40738265865,-842782.9430084713,3066.59
04-1-043092,22.5601,-55.47000000000003,-1682036.2480275726,684097.8179038548,5632.22
03-1-039925,-13.974,-165.369,-5014542.136291176,-423738.4988270649,7173.3099999999995
09-1-086860,-22.8581,150.639,4567879.184543454,-693134.1763302513,5653.44
05-2-003325,-7.76772,-58.250999999999976,-1766365.4855571305,-235543.29555667442,3337.97
09-1-014917,-3.34478,140.431,4258338.423413736,-101424.93603168671,5541.52
09-1-154005,-41.6212,124.08,3762521.3206284675,-1262094.2326736103,7034.7
02-1-109621,31.0637,-173.83,-5271108.004229905,941955.4605706523,4964.070000000001
08-1-016904,4.30081,95.6337,2899934.1974579846,130414.96873768634,3552.5899999999997
07-1-088195,-23.4115,88.3953,2680441.657747821,-709915.1184549755,3430.7599999999998
05-1-114998,-52.9415,-4.853000000000009,-147159.2196083977,-1605363.6564801098,4290.66
09-1-072588,-17.5285,161.704,4903407.056986668,-531522.8479097042,3584.55
07-1-124633,-33.2342,51.4811,1561079.4355206818,-1007772.2926662688,8815.849999999999
03-1-080455,-26.7912,-171.17,-5190447.892101666,-812398.9458834736,5375.47
09-1-088957,-24.4932,172.385,5227290.762867008,-742715.886608778,3405.16
03-1-148571,-55.3178,-141.788,-4299487.209939307,-1677421.034093016,3069.89
07-1-130156,-35.361,1.96631,59625.107172509364,-1072263.9943483497,3251.03
08-1-206724,54.7129,109.953,3334143.349186508,1659078.4394214482,9726.83
02-1-014154,4.28363,-115.411,-3499648.195801516,129894.01357739943,4131.2300000000005
08-1-134709,32.6759,165.008,5003595.406788059,990842.766124466,7710.51
07-1-179945,-45.4215,4.50489,136603.35809224675,-1377332.0612905058,5216.8
05-1-083251,-38.3406,-51.591999999999985,-1564442.2950827195,-1162615.4492721455,3032.1699999999996
02-1-121057,34.5471,-163.6,-4960900.129390855,1047583.8194381347,5430.54
07-1-135635,-37.1993,84.1515,2551755.423217815,-1128007.4094330638,3101.0499999999997
07-1-117825,-31.6447,56.3757,1709500.1065067241,-959573.327167083,3362.25
04-1-102697,53.1295,-52.625,-1595766.3160708665,1611064.4463598498,4428.78
07-1-159195,-41.744,27.852,844565.9560134114,-1265817.940105696,3125.2599999999998
08-1-057077,14.8958,121.346,3679617.280568843,451690.56324804586,3358.19
09-1-134591,-35.8596,127.485,3865772.328822697,-1087383.2168698306,4695.64
07-1-061786,-17.6224,86.3245,2617648.063689492,-534370.2105145318,3662.06
07-1-213958,-54.833,10.1415,307524.258326512,-1662720.2738073885,4177.74
08-1-019750,5.25573,150.886,4575369.052098218,159371.34252471515,3039.29
09-1-134555,-36.0253,126.208,3827049.4103310574,-1092407.7960351123,5113.17
04-1-024488,14.8127,-81.12599999999998,-2460012.12650955,449170.692827799,6191.17
02-1-083331,22.9826,-150.52,-4564270.70584298,696909.4334580579,8020.51
09-1-125984,-32.3904,99.7196,3023832.3749560164,-982185.4495783714,3380.03
03-1-158031,-58.3359,-94.906,-2877867.895354331,-1768939.938008142,3504.66
06-3-057279,34.2076,8.8509,268388.94226910465,1037289.0419691358,3091.44
02-1-034194,9.62031,-161.034,-4883090.412202488,291720.03131894954,6408.89
02-1-041850,11.499,-172.311,-5225046.834935621,348688.20652729494,3961.95
03-1-140561,-51.2648,-152.629,-4628222.651887511,-1554520.4948239385,3894.44
07-1-187980,-48.9257,30.6577,929644.1802984475,-1483591.1458468102,3015.24
02-1-059629,16.5847,-158.754,-4813953.173235427,502903.66977939196,5063.67
07-1-062794,-17.528,74.1008,2246984.525109816,-531507.6862344921,8237.43
07-1-102407,-26.576,28.3515,859712.4695502741,-805873.3608721966,3090.17
06-1-124750,59.2887,48.8621,1481662.5807598343,1797832.0262922714,4545.84
02-1-089779,24.4806,-170.59,-5172860.34885566,742333.8123934338,4492.639999999999
09-1-142248,-37.4336,158.602,4809344.023970956,-1135112.170437442,3575.25
03-1-052778,-17.7891,-162.039,-4913565.379378757,-539425.1130302376,3149.34
09-1-151289,-41.164,132.227,4009565.656534014,-1248230.3968596892,5683.63
02-1-063179,17.5714,-104.49600000000001,-3168668.8259219243,532823.7196429002,3596.2000000000003
08-1-186742,47.3295,107.215,3251118.015725187,1435189.013899783,3651.85
09-1-083671,-21.3048,102.478,3107476.3047659905,-646032.9161164198,8847.03
03-1-132430,-48.2018,-91.48599999999999,-2774162.0369037394,-1461640.0724747684,3260.15
09-1-123037,-32.2049,157.026,4761554.423702497,-976560.4680746916,3341.06
02-1-122223,36.1782,-168.362,-5105299.924110655,1097044.2363149647,4132.73
02-1-098021,27.1562,-144.388,-4378327.921042096,823466.9687882881,4316.88
03-1-064509,-21.2258,-137.791,-4178284.7782939808,-643637.3714329121,6060.6
08-1-166265,41.7628,134.092,4066118.705075053,1266388.01909367,5021.37
07-1-215863,-55.3245,40.3048,1222176.57417526,-1677624.200540858,5299.83
09-1-102881,-26.9833,114.511,3472357.1804197812,-818224.0614999527,3766.19
06-2-019745,52.4448,12.9732,393390.8897225761,1590302.0483244348,3692.88
02-1-123113,36.267,-140.58,-4262856.602626935,1099736.9498326294,3344.6099999999997
03-1-117314,-40.5383,-112.155,-3400915.3668204853,-1229257.076499299,3562.23
02-1-002246,0.520373,-175.807,-5331057.268018448,15779.452830265938,4831.17
07-1-020110,-5.24847,54.8117,1662074.3864433542,-159151.19500063584,4074.7
04-1-094481,48.829,-40.54399999999998,-1229429.919596716,1480658.877860795,7870.74
06-1-012774,5.96415,61.9158,1877494.5001915544,180853.01043219113,3062.6000000000004
07-1-011959,-2.53458,61.6552,1869592.235071021,-76856.9575180408,3788.95
09-1-099346,-25.6642,144.526,4382512.543400628,-778224.5299554572,5126.14
05-1-001590,-55.4451,-22.076000000000022,-669418.2839635246,-1681281.1966020104,7278.59
07-1-097351,-25.3439,89.3286,2708742.4406986795,-768511.9608146021,3615.89
02-1-147774,45.67,-119.845,-3634101.9315821948,1384867.413870907,3908.65
09-1-034006,-8.93029,177.385,5378907.514987756,-270796.31305927783,3873.88
